mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__subsample,param_model__regressor__reg_lambda,param_model__regressor__reg_alpha,param_model__regressor__num_leaves,param_model__regressor__n_estimators,param_model__regressor__min_child_samples,param_model__regressor__max_depth,param_model__regressor__learning_rate,param_model__regressor__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.42377837498982746,0.0066133619836890945,0.04792865117390951,0.0007675744451569003,0.7,0.1,0.01,31,600,10,-1,0.03,0.7,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 0.1, 'model__regressor__reg_alpha': 0.01, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': -1, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.13135997132614147,-0.12745946285319024,-0.12055770434443482,-0.12645904617458884,0.004466383185093977,3,-0.01746103882014962,-0.021860482593020418,-0.01752062204843762,-0.01894738115386922,0.002060017400632317
0.090760072072347,0.004096162128970744,0.012032667795817057,0.00027685673045031473,0.85,0.01,0.1,15,300,40,6,0.03,0.7,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.01, 'model__regressor__reg_alpha': 0.1, 'model__regressor__num_leaves': 15, 'model__regressor__n_estimators': 300, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.1416967908487393,-0.12884315149650946,-0.12479893734731008,-0.13177962656418626,0.007204236143004407,19,-0.08883874370830686,-0.09111943064722217,-0.09260276571774936,-0.09085364669109279,0.0015481055638841815
0.6773236592610677,0.012863982920220205,0.046801090240478516,0.0014967731295612568,0.85,0.0,0.0,31,1000,5,10,0.1,0.9,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_samples': 5, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 0.9}",-0.13549406321083676,-0.13140479721436502,-0.12964728591565397,-0.13218204878028525,0.0024493932830274992,24,-7.231598175119946e-06,-1.8419384772695315e-05,-0.00011873018194783155,-4.812705496521561e-05,5.013244323476741e-05
0.12808124224344888,0.0012943967578704929,0.014758984247843424,0.002102827325856962,0.85,0.0,1.0,31,300,5,6,0.03,0.7,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 1.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 300, 'model__regressor__min_child_samples': 5, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.14087091035439622,-0.12713537035099162,-0.1253161337885433,-0.13110747149797705,0.006943628213204485,18,-0.07062229289513346,-0.07346398053779808,-0.07000330506957034,-0.0713631928341673,0.001506821868225435
0.12495358784993489,0.003308159502048383,0.018345435460408527,0.0021819291534235855,0.7,10.0,0.0,31,300,20,10,0.03,0.5,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 10.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 300, 'model__regressor__min_child_samples': 20, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.5}",-0.1339707066536608,-0.12946588509699775,-0.1201906386907936,-0.12787574348048406,0.005736955117815037,7,-0.0762565599437578,-0.0782394147323433,-0.08014755913174451,-0.07821451126928188,0.00158859136912395
0.10771894454956055,0.008558529723145565,0.012653430302937826,0.00044204640604693265,1.0,0.1,1.0,31,600,40,10,0.1,0.5,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 0.1, 'model__regressor__reg_alpha': 1.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 0.5}",-0.14118298147189556,-0.13355155503609786,-0.12639403517083284,-0.13370952389294208,0.006038595244686672,26,-0.07946208117447444,-0.08182505133046329,-0.08111914643606485,-0.0808020929803342,0.000990386846932908
0.20912734667460123,0.002060789211545299,0.030389070510864258,0.0011336723461731456,0.7,0.0,1.0,63,1000,40,-1,0.03,0.7,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 1.0, 'model__regressor__num_leaves': 63, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': -1, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.140940088504117,-0.13063914201904617,-0.12398622153918415,-0.1318551506874491,0.006974592417118178,21,-0.07826725687474476,-0.08038951968895303,-0.08160815866598214,-0.08008831174322664,0.0013804469963505368
0.37854425112406415,0.008912993750114749,0.030073881149291992,0.0013855443912275617,0.85,0.01,0.1,63,600,20,10,0.01,1.0,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.01, 'model__regressor__reg_alpha': 0.1, 'model__regressor__num_leaves': 63, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 20, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.01, 'model__regressor__colsample_bytree': 1.0}",-0.13744148012033078,-0.12813868264002135,-0.12503376405994301,-0.13020464227343173,0.005271874831845051,16,-0.06886483761026127,-0.07125163621860549,-0.07204435238558496,-0.07072027540481725,0.0013513170828116038
0.7139728864034017,0.011569772309500813,0.0479888121287028,0.0027075789833453036,0.85,10.0,0.01,15,1500,5,6,0.1,1.0,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 10.0, 'model__regressor__reg_alpha': 0.01, 'model__regressor__num_leaves': 15, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_samples': 5, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 1.0}",-0.13459064212541785,-0.12652614044438293,-0.1242055953549295,-0.12844079264157673,0.004450596880080394,9,-0.0013446330125743654,-0.0014216185043416727,-0.0014569479745056985,-0.0014077331638072458,4.689182359237023e-05
0.8113305568695068,0.008521776154450105,0.08903972307840984,0.003258215149544726,0.7,1.0,0.0,31,1000,10,-1,0.05,1.0,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 1.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': -1, 'model__regressor__learning_rate': 0.05, 'model__regressor__colsample_bytree': 1.0}",-0.13153789740031585,-0.12992321837520293,-0.1245176759426893,-0.1286595972394027,0.0030020472025670407,10,-0.0035962364740049022,-0.005129995269011127,-0.0027951605820251374,-0.0038404641083470553,0.0009687100037061364
