number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.4121027832551305,2026-08-19 11:15:14.682407,2026-08-19 11:15:22.501477,0 days 00:00:07.819070,gelu,16,32,32,0.0004968489899721994,0.0003218371567259421,"[95, 97, 100]","[0.4211218302743524, 0.4258372758612906, 0.3893492436297486]",97.0,COMPLETE
1,0.409230903872559,2026-08-19 11:15:22.605541,2026-08-19 11:15:27.045664,0 days 00:00:04.440123,gelu,32,32,32,0.000988127749887291,3.2251999719722266e-06,"[97, 99, 100]","[0.42170278025188757, 0.3990357422489513, 0.40695418911683834]",99.0,COMPLETE
2,0.3841560311697392,2026-08-19 11:15:27.145058,2026-08-19 11:15:35.030524,0 days 00:00:07.885466,silu,16,32,32,0.0004595041739214871,5.431649269585544e-05,"[99, 100, 100]","[0.38098945282310326, 0.449915213294968, 0.3215634273911464]",100.0,COMPLETE
3,1.2186192098114523,2026-08-19 11:15:35.135109,2026-08-19 11:15:39.392529,0 days 00:00:04.257420,gelu,32,16,16,0.00020167775210403868,4.119194756319467e-06,"[99, 99, 99]","[1.1146066829954948, 1.4558611043287923, 1.0853898421100698]",99.0,COMPLETE
4,0.8769612113412654,2026-08-19 11:15:39.491665,2026-08-19 11:15:43.766481,0 days 00:00:04.274816,silu,32,16,32,0.0004991958135057747,3.0944627114845256e-07,"[100, 100, 97]","[0.9491750540919238, 0.9378332888995656, 0.7438752910323063]",100.0,COMPLETE
5,0.9007445396467912,2026-08-19 11:15:43.863010,2026-08-19 11:15:49.296094,0 days 00:00:05.433084,silu,16,64,16,0.00023870400669039909,0.0023153773020038416,"[100, 97]","[0.7061394456335217, 1.0953496336600608]",,PRUNED
6,0.6710058013748873,2026-08-19 11:15:49.392530,2026-08-19 11:15:54.583654,0 days 00:00:05.191124,relu,16,32,32,0.00038069122543067684,6.530384784366976e-05,"[99, 93]","[0.6329649948607815, 0.7090466078889931]",,PRUNED
7,0.21653053066433917,2026-08-19 11:15:54.682005,2026-08-19 11:16:02.863625,0 days 00:00:08.181620,silu,16,64,32,0.0009620695348905948,1.0809126262172465e-07,"[99, 69, 96]","[0.1370330951090727, 0.372930689600385, 0.13962780728355986]",96.0,COMPLETE
8,0.3152052236727508,2026-08-19 11:16:02.961368,2026-08-19 11:16:11.061431,0 days 00:00:08.100063,relu,16,64,16,0.000939945716869706,2.0404976901749873e-07,"[98, 94, 96]","[0.2664344511125253, 0.4243370982762736, 0.25484412162945336]",96.0,COMPLETE
9,0.24062168681048313,2026-08-19 11:16:11.168767,2026-08-19 11:16:19.299701,0 days 00:00:08.130934,silu,16,64,32,0.0007290874114926931,2.2417558467418234e-06,"[98, 89, 96]","[0.15815190192831655, 0.40601224966482086, 0.15770090883831198]",96.0,COMPLETE
10,0.9848978819494152,2026-08-19 11:16:19.403675,2026-08-19 11:16:22.457748,0 days 00:00:03.054073,silu,32,64,16,0.00030530640439055927,0.002132428665734923,"[97, 93]","[0.8744076599674752, 1.095388103931355]",,PRUNED
11,0.24159658087923883,2026-08-19 11:16:22.555489,2026-08-19 11:16:30.694402,0 days 00:00:08.138913,silu,16,64,32,0.0007167439359562725,1.4122640031172702e-06,"[98, 97, 96]","[0.16168964205271935, 0.4057101544762054, 0.15738994610879165]",97.0,COMPLETE
