number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.5829647260084696,2026-08-19 11:13:03.222181,2026-08-19 11:13:09.587567,0 days 00:00:06.365386,gelu,16,32,32,0.0004968489899721994,0.0003218371567259421,"[100, 99, 99]","[0.503963276611032, 0.5348902397974022, 0.7100406616169745]",99.0,COMPLETE
1,0.5857811838803287,2026-08-19 11:13:09.689014,2026-08-19 11:13:13.281893,0 days 00:00:03.592879,gelu,32,32,32,0.000988127749887291,3.2251999719722266e-06,"[96, 97, 100]","[0.5529565268469787, 0.5592681830769287, 0.6451188417170786]",97.0,COMPLETE
2,0.5385499838758798,2026-08-19 11:13:13.384919,2026-08-19 11:13:19.875189,0 days 00:00:06.490270,silu,16,32,32,0.0004595041739214871,5.431649269585544e-05,"[100, 99, 100]","[0.5051256262358584, 0.470363288738674, 0.640161036653107]",100.0,COMPLETE
3,1.3108397471348385,2026-08-19 11:13:19.974583,2026-08-19 11:13:23.453924,0 days 00:00:03.479341,gelu,32,16,16,0.00020167775210403868,4.119194756319467e-06,"[97, 100, 100]","[1.188077291586799, 1.258622198001015, 1.4858197518167016]",100.0,COMPLETE
4,1.0690212519805193,2026-08-19 11:13:23.551298,2026-08-19 11:13:27.086448,0 days 00:00:03.535150,silu,32,16,32,0.0004991958135057747,3.0944627114845256e-07,"[100, 98, 100]","[0.9056326334206785, 1.0575473598646132, 1.2438837626562667]",100.0,COMPLETE
5,0.9401733595174337,2026-08-19 11:13:27.186134,2026-08-19 11:13:31.619466,0 days 00:00:04.433332,silu,16,64,16,0.00023870400669039909,0.0023153773020038416,"[100, 100]","[0.7994419890556064, 1.0809047299792611]",,PRUNED
6,0.7557766854512843,2026-08-19 11:13:31.727277,2026-08-19 11:13:36.554898,0 days 00:00:04.827621,relu,16,32,32,0.00038069122543067684,6.530384784366976e-05,"[94, 99]","[0.736942688555117, 0.7746106823474516]",,PRUNED
7,0.25253183529668616,2026-08-19 11:13:36.661417,2026-08-19 11:13:43.341680,0 days 00:00:06.680263,silu,16,64,32,0.0009620695348905948,1.0809126262172465e-07,"[92, 99, 99]","[0.18545538985411053, 0.20784736088976744, 0.36429275514618054]",99.0,COMPLETE
8,0.44935819067781924,2026-08-19 11:13:43.444961,2026-08-19 11:13:50.012239,0 days 00:00:06.567278,relu,16,64,16,0.000939945716869706,2.0404976901749873e-07,"[94, 99, 99]","[0.32612472818968796, 0.37360118953559923, 0.6483486543081705]",99.0,COMPLETE
9,0.32963678700344984,2026-08-19 11:13:50.110362,2026-08-19 11:13:56.678627,0 days 00:00:06.568265,silu,16,64,32,0.0007290874114926931,2.2417558467418234e-06,"[99, 99, 99]","[0.23151020839363048, 0.26217353315626685, 0.49522661946045216]",99.0,COMPLETE
10,1.0202562105930348,2026-08-19 11:13:56.780227,2026-08-19 11:13:59.268488,0 days 00:00:02.488261,silu,32,64,16,0.00030530640439055927,0.002132428665734923,"[100, 90]","[0.9327673554888406, 1.107745065697229]",,PRUNED
11,0.33841223213079913,2026-08-19 11:13:59.365864,2026-08-19 11:14:05.944939,0 days 00:00:06.579075,silu,16,64,32,0.0007167439359562725,1.4122640031172702e-06,"[99, 99, 99]","[0.23931576995490095, 0.2684109401914275, 0.5075099862460687]",99.0,COMPLETE
