number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14158583002339387,2026-08-19 12:31:57.347732,2026-08-19 12:32:00.609111,0 days 00:00:03.261379,gelu,32,0.0,32,32,0.00033563004850162834,2.147618843586951e-06,"[33, 23, 23]","[0.12264037899637635, 0.1755286565545753, 0.12658845451922993]",23.0,COMPLETE
1,0.16312919496774553,2026-08-19 12:32:00.720496,2026-08-19 12:32:06.357422,0 days 00:00:05.636926,gelu,16,0.1,16,32,0.00032095900025727413,2.5592108570833637e-05,"[60, 41, 83]","[0.13998086894440492, 0.21594727122044938, 0.13345944473838228]",60.0,COMPLETE
2,0.19475935107298029,2026-08-19 12:32:06.459884,2026-08-19 12:32:10.100927,0 days 00:00:03.641043,gelu,32,0.2,64,32,0.00020167775210403868,4.119194756319467e-06,"[97, 86, 85]","[0.16634950411015242, 0.23439775244860825, 0.18353079666018027]",86.0,COMPLETE
3,0.13744387842265807,2026-08-19 12:32:10.206346,2026-08-19 12:32:15.869341,0 days 00:00:05.662995,silu,16,0.1,16,32,0.0007377185554012516,2.6494084034430584e-07,"[97, 95, 88]","[0.12307392590281034, 0.1621442771949908, 0.12711343217017307]",95.0,COMPLETE
4,0.18368930644701145,2026-08-19 12:32:15.974955,2026-08-19 12:32:19.286226,0 days 00:00:03.311271,silu,32,0.2,16,32,0.0006747735720188567,8.902982711153794e-06,"[18, 49, 84]","[0.23542704491434518, 0.1668839039847528, 0.14875697044193642]",49.0,COMPLETE
5,0.16837404619398433,2026-08-19 12:32:19.398586,2026-08-19 12:32:24.950360,0 days 00:00:05.551774,silu,16,0.3,16,16,0.0009665348295207365,0.00278110807234906,"[92, 60, 98]","[0.1489533765198939, 0.20281831600492684, 0.1533504460571322]",92.0,COMPLETE
6,0.22505150315942113,2026-08-19 12:32:25.054674,2026-08-19 12:32:28.965311,0 days 00:00:03.910637,relu,16,0.1,32,16,0.000512054701557398,1.6078119966042412e-07,"[87, 97]","[0.2070605965996327, 0.2430424097192096]",,PRUNED
7,0.13154668171892414,2026-08-19 12:32:29.069222,2026-08-19 12:32:35.227270,0 days 00:00:06.158048,silu,16,0.1,64,32,0.0009372294791665693,0.0013264352468047847,"[92, 77, 87]","[0.12111729960288821, 0.14798772664157417, 0.12553501891231006]",87.0,COMPLETE
8,0.14901787768794245,2026-08-19 12:32:35.328410,2026-08-19 12:32:41.199396,0 days 00:00:05.870986,relu,16,0.0,64,16,0.00042651295405445077,0.002294060566488823,"[15, 25, 14]","[0.1271519314368392, 0.18887852637963132, 0.1310231752473568]",15.0,COMPLETE
9,0.18581678762718173,2026-08-19 12:32:41.301084,2026-08-19 12:32:45.591770,0 days 00:00:04.290686,silu,16,0.3,64,32,0.0002049362238597241,9.737647327546778e-05,"[92, 88]","[0.16825944703809742, 0.20337412821626602]",,PRUNED
10,0.16823595773437794,2026-08-19 12:32:45.694164,2026-08-19 12:32:49.285448,0 days 00:00:03.591284,silu,32,0.1,64,16,0.0009686068349787387,0.000296503865015781,"[93, 81, 97]","[0.15100567920916086, 0.20007083343483845, 0.15363136055913448]",93.0,COMPLETE
11,0.13825014192912533,2026-08-19 12:32:49.388094,2026-08-19 12:32:55.023969,0 days 00:00:05.635875,silu,16,0.1,16,32,0.000699763494826343,4.64843878772061e-07,"[97, 95, 83]","[0.12645879352378012, 0.16050773373930013, 0.12778389852429575]",95.0,COMPLETE
