number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.13871370905350267,2026-08-19 12:29:52.102081,2026-08-19 12:29:54.751274,0 days 00:00:02.649193,gelu,32,0.0,32,32,0.00033563004850162834,2.147618843586951e-06,"[26, 29, 40]","[0.13579548874892783, 0.13204600727988763, 0.14829963113169253]",29.0,COMPLETE
1,0.22157363997198856,2026-08-19 12:29:54.858037,2026-08-19 12:29:59.415556,0 days 00:00:04.557519,gelu,16,0.1,16,32,0.00032095900025727413,2.5592108570833637e-05,"[58, 61, 20]","[0.15964122779510986, 0.17577417180166746, 0.32930552031918836]",58.0,COMPLETE
2,0.18207905587603826,2026-08-19 12:29:59.519786,2026-08-19 12:30:02.388602,0 days 00:00:02.868816,gelu,32,0.2,64,32,0.00020167775210403868,4.119194756319467e-06,"[75, 91, 95]","[0.18533150893556782, 0.1631981420067075, 0.19770751668583947]",91.0,COMPLETE
3,0.2129114108686919,2026-08-19 12:30:02.490567,2026-08-19 12:30:06.999888,0 days 00:00:04.509321,silu,16,0.1,16,32,0.0007377185554012516,2.6494084034430584e-07,"[35, 83, 81]","[0.219355601284103, 0.13693367850306457, 0.2824449528189081]",81.0,COMPLETE
4,0.3332453112779045,2026-08-19 12:30:07.104249,2026-08-19 12:30:09.741713,0 days 00:00:02.637464,silu,32,0.2,16,32,0.0006747735720188567,8.902982711153794e-06,"[12, 51, 99]","[0.294140238918662, 0.1689076671290199, 0.5366880277860318]",51.0,COMPLETE
5,0.1436339320734157,2026-08-19 12:30:09.843756,2026-08-19 12:30:12.414915,0 days 00:00:02.571159,relu,32,0.0,32,16,0.0003681329843795166,0.002776341708346362,"[26, 35, 58]","[0.14546916176233568, 0.13116723171674324, 0.15426540274116823]",35.0,COMPLETE
6,0.13762377491288483,2026-08-19 12:30:12.518837,2026-08-19 12:30:15.105627,0 days 00:00:02.586790,gelu,32,0.0,32,16,0.0004387863332947893,0.002500635839803016,"[32, 29, 59]","[0.13714481603247017, 0.12752375627430063, 0.14820275243188374]",32.0,COMPLETE
7,0.47947691518909297,2026-08-19 12:30:15.207704,2026-08-19 12:30:16.974436,0 days 00:00:01.766732,relu,32,0.3,32,16,0.0005121687325238871,0.002980019920980618,"[99, 58]","[0.4148551903236354, 0.5440986400545506]",,PRUNED
8,0.1472866462563084,2026-08-19 12:30:17.076212,2026-08-19 12:30:21.768973,0 days 00:00:04.692761,gelu,16,0.0,64,16,0.000908544965846612,0.00011478564140643325,"[10, 19, 62]","[0.14663628319527017, 0.13600635942214437, 0.15921729615151065]",19.0,COMPLETE
9,0.6641104971928313,2026-08-19 12:30:21.872685,2026-08-19 12:30:23.670255,0 days 00:00:01.797570,gelu,32,0.3,32,16,0.00020468860249269993,1.0848500284568306e-07,"[59, 91]","[0.6202734922312795, 0.7079475021543833]",,PRUNED
10,0.15049608294883196,2026-08-19 12:30:23.771542,2026-08-19 12:30:28.234887,0 days 00:00:04.463345,relu,16,0.0,32,16,0.0005054905975600764,0.000296503865015781,"[29, 13, 38]","[0.15239829460735332, 0.13425961143121887, 0.1648303428079237]",29.0,COMPLETE
11,0.1393679915749471,2026-08-19 12:30:28.337057,2026-08-19 12:30:30.947034,0 days 00:00:02.609977,gelu,32,0.0,32,32,0.00032560378623997335,1.2100172119825427e-06,"[26, 29, 40]","[0.13662333853418, 0.13237039364722358, 0.14911024254343777]",29.0,COMPLETE
