number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14513241792625906,2026-08-19 15:18:44.892810,2026-08-19 15:18:50.605554,0 days 00:00:05.712744,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[32, 8, 13]","[0.12712261043878265, 0.17953912392888785, 0.1287355194111066]",13,COMPLETE
1,0.13971695010606433,2026-08-19 15:18:50.714209,2026-08-19 15:18:53.959094,0 days 00:00:03.244885,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[33, 23, 27]","[0.11899758718567321, 0.17350792556994044, 0.12664533756257937]",27,COMPLETE
2,0.1381386291004208,2026-08-19 15:18:54.065714,2026-08-19 15:18:59.352540,0 days 00:00:05.286826,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[69, 34, 50]","[0.11879213312141504, 0.16932526708254472, 0.12629848709730263]",50,COMPLETE
3,0.13775385005353696,2026-08-19 15:18:59.452937,2026-08-19 15:19:04.865124,0 days 00:00:05.412187,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[36, 32, 25]","[0.12064310060798192, 0.1613792436074783, 0.13123920594515065]",32,COMPLETE
4,0.14131298425746328,2026-08-19 15:19:04.966494,2026-08-19 15:19:10.356845,0 days 00:00:05.390351,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[50, 32, 41]","[0.11958096749859855, 0.17566253130989087, 0.12869545396390036]",41,COMPLETE
5,0.13715715119076058,2026-08-19 15:19:10.458819,2026-08-19 15:19:13.626567,0 days 00:00:03.167748,silu,,0.000353733575697458,32,0.0,16,16,adamw,,0.0027806226898383795,"[84, 51, 41]","[0.12031540667387026, 0.16163237411358305, 0.1295236727848284]",51,COMPLETE
6,0.14672099059644772,2026-08-19 15:19:13.733323,2026-08-19 15:19:17.225837,0 days 00:00:03.492514,relu,,0.0002029907138349601,32,0.0,64,16,adamw,,0.002500635839803016,"[60, 51, 41]","[0.1244665746047839, 0.18583208272158977, 0.12986431446296945]",51,COMPLETE
7,0.1592772989646617,2026-08-19 15:19:17.325758,2026-08-19 15:19:20.269435,0 days 00:00:02.943677,silu,,,32,0.0,16,16,rmsprop,0.008013800294164911,0.002980019920980618,"[93, 93, 100]","[0.1393597793638629, 0.20310057502225815, 0.13537154250786404]",93,COMPLETE
8,0.1462867951174565,2026-08-19 15:19:20.370944,2026-08-19 15:19:23.827079,0 days 00:00:03.456135,relu,,0.00026931541020546536,32,0.0,64,16,adamw,,0.00011498670245331027,"[41, 51, 17]","[0.12367343993669544, 0.18422627154995963, 0.13096067386571442]",41,COMPLETE
9,0.13754703641520574,2026-08-19 15:19:23.931694,2026-08-19 15:19:27.083809,0 days 00:00:03.152115,silu,,0.00038753417597721965,32,0.0,16,16,adamw,,9.890841240368471e-05,"[84, 51, 41]","[0.12005717335230329, 0.1638594622723546, 0.1287244736209594]",51,COMPLETE
10,0.1465394818244378,2026-08-19 15:19:27.189513,2026-08-19 15:19:30.363380,0 days 00:00:03.173867,silu,0.0009607830315517864,,32,0.0,16,32,adam,,0.000398752569062282,"[37, 23, 41]","[0.1247173655801854, 0.18518734596552505, 0.12971373392760296]",37,COMPLETE
11,0.13709964205693878,2026-08-19 15:19:30.469851,2026-08-19 15:19:33.636538,0 days 00:00:03.166687,silu,,0.00038423269318129115,32,0.0,16,16,adamw,,0.00031060324055000814,"[84, 76, 59]","[0.12009848376780703, 0.16181391829599964, 0.12938652410700963]",76,COMPLETE
12,0.13641926276162167,2026-08-19 15:19:33.742184,2026-08-19 15:19:36.956673,0 days 00:00:03.214489,silu,,0.0003823143992508204,32,0.0,16,16,adamw,,0.0005803718204614634,"[84, 51, 41]","[0.11979193650939463, 0.16022439248197728, 0.12924145929349307]",51,COMPLETE
13,0.13542153721833028,2026-08-19 15:19:37.062437,2026-08-19 15:19:40.220475,0 days 00:00:03.158038,silu,,0.0005093273012486845,32,0.0,16,16,adamw,,0.0005539748242944722,"[48, 51, 35]","[0.11890005683729508, 0.1577151067148592, 0.12964944810283657]",48,COMPLETE
14,0.1366687478517721,2026-08-19 15:19:40.327513,2026-08-19 15:19:43.490141,0 days 00:00:03.162628,silu,,0.0006387797329529056,32,0.0,16,16,adamw,,0.0005236941582258425,"[48, 38, 24]","[0.11803224685050004, 0.16147563119045494, 0.13049836551436134]",38,COMPLETE
