number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14181512700512847,2026-08-19 15:15:10.017707,2026-08-19 15:15:14.479908,0 days 00:00:04.462201,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[10, 22, 11]","[0.14924603945124898, 0.14447162295092653, 0.1317277186132099]",11.0,COMPLETE
1,0.14280314504007505,2026-08-19 15:15:14.582483,2026-08-19 15:15:17.190739,0 days 00:00:02.608256,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[11, 26, 38]","[0.16158552707085994, 0.1350629076634016, 0.13176100038596364]",26.0,COMPLETE
2,0.13745009439157374,2026-08-19 15:15:17.292395,2026-08-19 15:15:21.445238,0 days 00:00:04.152843,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[46, 74, 66]","[0.14180420252831458, 0.14161905897992183, 0.12892702166648481]",66.0,COMPLETE
3,0.14081083025588073,2026-08-19 15:15:21.551498,2026-08-19 15:15:25.945615,0 days 00:00:04.394117,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[15, 21, 26]","[0.15114215379086424, 0.13589197922192975, 0.1353983577548482]",21.0,COMPLETE
4,0.13990264556589768,2026-08-19 15:15:26.053164,2026-08-19 15:15:30.786311,0 days 00:00:04.733147,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[26, 40, 40]","[0.14464121654717502, 0.1427286309287153, 0.13233808922180273]",40.0,COMPLETE
5,0.16956666967454492,2026-08-19 15:15:30.897282,2026-08-19 15:15:32.607103,0 days 00:00:01.709821,relu,,,32,0.0,64,32,rmsprop,0.00011374283383811009,0.0027805858502305647,"[73, 85]","[0.17077916012070377, 0.16835417922838605]",,PRUNED
6,0.16288125444537951,2026-08-19 15:15:32.706371,2026-08-19 15:15:35.579593,0 days 00:00:02.873222,gelu,,,16,0.0,32,32,rmsprop,0.0012349588264717072,0.002500635839803016,"[90, 94]","[0.16741789240288943, 0.1583446164878696]",,PRUNED
7,0.16031142457354908,2026-08-19 15:15:35.679215,2026-08-19 15:15:38.756344,0 days 00:00:03.077129,relu,,,16,0.0,64,32,rmsprop,0.0075214856915823605,1.0820052740879068e-07,"[84, 85]","[0.17709417006114808, 0.14352867908595007]",,PRUNED
8,0.155145208858953,2026-08-19 15:15:38.903324,2026-08-19 15:15:40.675871,0 days 00:00:01.772547,gelu,,,32,0.0,32,16,rmsprop,0.00011066774943850622,7.846532302563544e-05,"[100, 90]","[0.16008306615107473, 0.15020735156683124]",,PRUNED
9,0.16374452973943643,2026-08-19 15:15:40.812428,2026-08-19 15:15:43.831832,0 days 00:00:03.019404,gelu,,,16,0.0,32,32,rmsprop,0.0006406868588791639,3.1815601585352164e-05,"[30, 62]","[0.177164319810088, 0.15032473966878482]",,PRUNED
10,0.1597408282646407,2026-08-19 15:15:43.945657,2026-08-19 15:15:45.632915,0 days 00:00:01.687258,relu,,0.000204604596399701,32,0.0,16,16,adamw,,0.000296503865015781,"[61, 80]","[0.16836045713801426, 0.1511211993912671]",,PRUNED
11,0.14539556169507534,2026-08-19 15:15:45.732197,2026-08-19 15:15:48.650988,0 days 00:00:02.918791,gelu,0.00020568694932909654,,16,0.0,16,32,adam,,1.2100172119825427e-06,"[26, 49]","[0.14640747046942545, 0.14438365292072522]",,PRUNED
12,0.14506334594859643,2026-08-19 15:15:48.754198,2026-08-19 15:15:51.662172,0 days 00:00:02.907974,gelu,0.00021291646820029966,,16,0.0,16,32,adam,,1.742878786440648e-05,"[26, 49]","[0.14691868060714372, 0.14320801129004918]",,PRUNED
13,0.14934394646035964,2026-08-19 15:15:51.761106,2026-08-19 15:15:54.687820,0 days 00:00:02.926714,gelu,0.0008353200694107044,,16,0.0,16,32,adam,,0.0005653303672146165,"[10, 20]","[0.15501066456747803, 0.14367722835324123]",,PRUNED
14,0.15087185007912401,2026-08-19 15:15:54.787344,2026-08-19 15:15:57.963678,0 days 00:00:03.176334,gelu,0.00041835019386059864,,16,0.0,64,32,adam,,6.313915643188572e-07,"[16, 21]","[0.15538993101796977, 0.14635376914027828]",,PRUNED
