number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.18348751743663202,2026-08-20 13:53:13.677831,2026-08-20 13:53:37.623570,0 days 00:00:23.945739,relu,,0.0009908433809192958,16,0.0,4,32,16,adamw,,1.8393727699389582e-05,"[69, 73, 100]","[0.17873730426830325, 0.23468563505279966, 0.1370396129887931]",73.0,COMPLETE
1,0.185886060210151,2026-08-20 13:53:37.735428,2026-08-20 13:54:01.591763,0 days 00:00:23.856335,silu,,0.0004595041739214871,16,0.0,2,32,32,adamw,,5.431649269585544e-05,"[96, 51, 70]","[0.15749526304372938, 0.21668911714163375, 0.18347380044508987]",70.0,COMPLETE
2,0.21832311240904623,2026-08-20 13:54:01.692671,2026-08-20 13:54:14.312064,0 days 00:00:12.619393,gelu,,0.0007594891937196535,32,0.0,2,16,16,adamw,,0.0006675332557234355,"[51, 85, 93]","[0.21975156362878798, 0.24695314131725937, 0.1882646322810914]",85.0,COMPLETE
3,0.20547533948459598,2026-08-20 13:54:14.411172,2026-08-20 13:54:27.075507,0 days 00:00:12.664335,relu,0.0005006867092487975,,32,0.0,4,16,16,adam,,0.0005873441858074232,"[94, 94, 95]","[0.20257012586780254, 0.24229163202603274, 0.17156426055995264]",94.0,COMPLETE
4,0.1556998326002431,2026-08-20 13:54:27.175423,2026-08-20 13:54:51.332934,0 days 00:00:24.157511,gelu,0.0007970707387311769,,16,0.0,8,64,16,adam,,1.7148994541150932e-06,"[60, 26, 38]","[0.13148767581671067, 0.19660443695934976, 0.1390073850246688]",38.0,COMPLETE
5,0.15620032601171963,2026-08-20 13:54:51.438996,2026-08-20 13:55:15.702170,0 days 00:00:24.263174,gelu,0.000992676864000753,,16,0.0,8,64,32,adam,,1.194620876284463e-07,"[62, 39, 64]","[0.12876456482067508, 0.20006408522870786, 0.13977232798577593]",62.0,COMPLETE
6,0.1603101594711948,2026-08-20 13:55:15.802255,2026-08-20 13:55:37.202177,0 days 00:00:21.399922,gelu,,,16,0.0,8,64,16,rmsprop,0.0005980342919124214,1.672030946569419e-07,"[70, 76, 93]","[0.14289326065238667, 0.19507606416369472, 0.14296115359750305]",76.0,COMPLETE
7,0.14879039819328557,2026-08-20 13:55:37.301998,2026-08-20 13:56:01.430636,0 days 00:00:24.128638,silu,0.0002196219216498502,,16,0.0,8,64,16,adam,,2.625398622964544e-06,"[96, 59, 90]","[0.12556756840285124, 0.1871641182334237, 0.13363950794358176]",90.0,COMPLETE
8,0.1543090027749624,2026-08-20 13:56:01.536096,2026-08-20 13:56:13.175995,0 days 00:00:11.639899,silu,,,32,0.0,8,64,32,rmsprop,0.008487812118978828,4.758650998272583e-06,"[96, 97, 100]","[0.1397268867802607, 0.20033590313361857, 0.12286421841100792]",97.0,COMPLETE
9,0.16841973338930774,2026-08-20 13:56:13.280048,2026-08-20 13:56:37.420402,0 days 00:00:24.140354,silu,0.00021012314552888868,,16,0.0,8,64,16,adam,,0.0026277042674142242,"[86, 95, 97]","[0.14933289446838613, 0.21056396923926235, 0.1453623364602747]",95.0,COMPLETE
10,0.27261948773618006,2026-08-20 13:56:37.522367,2026-08-20 13:56:45.957512,0 days 00:00:08.435145,silu,0.00020313444975587322,,32,0.0,2,32,32,adam,,8.013104774932566e-05,"[100, 99]","[0.2517783383287641, 0.29346063714359594]",,PRUNED
11,0.14931076787783878,2026-08-20 13:56:46.058316,2026-08-20 13:56:57.657481,0 days 00:00:11.599165,silu,,,32,0.0,8,64,32,rmsprop,0.009574319301304281,2.6439167218787126e-06,"[91, 84, 98]","[0.13127992369458202, 0.1935694757116471, 0.12308290422728721]",91.0,COMPLETE
12,0.16481410805811825,2026-08-20 13:56:57.757579,2026-08-20 13:57:09.450913,0 days 00:00:11.693334,silu,,,32,0.0,8,64,32,rmsprop,0.00010253467687479869,1.1470821890297288e-06,"[90, 100, 97]","[0.14287436786263763, 0.20132064330198635, 0.1502473130097308]",97.0,COMPLETE
13,0.1501050186935611,2026-08-20 13:57:09.555456,2026-08-20 13:57:21.247066,0 days 00:00:11.691610,silu,,,32,0.0,8,64,32,rmsprop,0.009352925180383814,6.822408609948324e-07,"[93, 97, 100]","[0.13026285621390357, 0.19929474210532844, 0.1207574577614513]",97.0,COMPLETE
14,0.15685799635602474,2026-08-20 13:57:21.348806,2026-08-20 13:57:42.983052,0 days 00:00:21.634246,silu,,,16,0.0,8,64,16,rmsprop,0.0013774143673325175,6.738629948489821e-06,"[96, 100, 95]","[0.1310210144061699, 0.20410995358960418, 0.13544302107230013]",96.0,COMPLETE
