number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.19895734065946788,2026-08-20 13:32:50.092351,2026-08-20 13:33:09.607067,0 days 00:00:19.514716,relu,,0.0009908433809192958,16,0.0,4,32,16,adamw,,1.8393727699389582e-05,"[82, 38, 50]","[0.2072677864600865, 0.2136779674211968, 0.17592626809712025]",50.0,COMPLETE
1,0.21968105325294995,2026-08-20 13:33:09.709529,2026-08-20 13:33:28.827879,0 days 00:00:19.118350,silu,,0.0004595041739214871,16,0.0,2,32,32,adamw,,5.431649269585544e-05,"[45, 98, 92]","[0.3159404487973408, 0.1820572780376411, 0.16104543292386797]",92.0,COMPLETE
2,0.24034596782975057,2026-08-20 13:33:28.933790,2026-08-20 13:33:39.124059,0 days 00:00:10.190269,gelu,,0.0007594891937196535,32,0.0,2,16,16,adamw,,0.0006675332557234355,"[93, 98, 93]","[0.31548989286090834, 0.20110176825747755, 0.20444624237086584]",93.0,COMPLETE
3,0.23454493702610082,2026-08-20 13:33:39.223812,2026-08-20 13:33:49.457572,0 days 00:00:10.233760,relu,0.0005006867092487975,,32,0.0,4,16,16,adam,,0.0005873441858074232,"[99, 100, 99]","[0.27253464237480074, 0.22708441136256335, 0.20401575734093844]",99.0,COMPLETE
4,0.1791388752770768,2026-08-20 13:33:49.556901,2026-08-20 13:34:08.916536,0 days 00:00:19.359635,gelu,0.0007970707387311769,,16,0.0,8,64,16,adam,,1.7148994541150932e-06,"[39, 60, 47]","[0.20984222757197363, 0.16868351109299765, 0.1588908871662591]",47.0,COMPLETE
5,0.15566088604551032,2026-08-20 13:34:09.015327,2026-08-20 13:34:28.464592,0 days 00:00:19.449265,gelu,0.000992676864000753,,16,0.0,8,64,32,adam,,1.194620876284463e-07,"[72, 89, 68]","[0.16278657329875523, 0.1487350685735216, 0.1554610162642541]",72.0,COMPLETE
6,0.1907142867566963,2026-08-20 13:34:28.567532,2026-08-20 13:34:45.820679,0 days 00:00:17.253147,gelu,,,16,0.0,8,64,32,rmsprop,0.0005980342919124214,1.5957372142521548e-07,"[91, 98, 85]","[0.2177561417205543, 0.17501477554224537, 0.1793719430072892]",91.0,COMPLETE
7,0.15552578843980736,2026-08-20 13:34:45.922698,2026-08-20 13:35:05.303811,0 days 00:00:19.381113,silu,0.00021927476680758028,,16,0.0,8,64,32,adam,,2.0404976901749873e-07,"[93, 96, 95]","[0.15956890314613137, 0.149753338207363, 0.15725512396592764]",95.0,COMPLETE
8,0.15187681741787978,2026-08-20 13:35:05.403766,2026-08-20 13:35:14.763392,0 days 00:00:09.359626,silu,,,32,0.0,8,64,32,rmsprop,0.008487812118978828,4.712153277705419e-06,"[95, 100, 95]","[0.15460186731176107, 0.15207646125194024, 0.14895212368993804]",95.0,COMPLETE
9,0.15703847063576837,2026-08-20 13:35:14.865101,2026-08-20 13:35:24.269123,0 days 00:00:09.404022,silu,,,32,0.0,8,64,32,rmsprop,0.009708844038341678,1.124932708342439e-05,"[95, 97, 90]","[0.15571488678364884, 0.15621212822708821, 0.15918839689656802]",95.0,COMPLETE
10,0.4579988497063494,2026-08-20 13:35:24.373922,2026-08-20 13:35:30.502723,0 days 00:00:06.128801,silu,,,32,0.0,2,32,32,rmsprop,0.00010750643328625461,0.0023854230895580374,"[100, 100]","[0.5269498824284655, 0.3890478169842333]",,PRUNED
11,0.17222323200900802,2026-08-20 13:35:30.601630,2026-08-20 13:35:41.155156,0 days 00:00:10.553526,silu,0.00021273937631197964,,32,0.0,8,64,32,adam,,1.1778736886826283e-06,"[93, 100, 84]","[0.1857587008289227, 0.16360706708950506, 0.16730392810859626]",93.0,COMPLETE
12,0.1527627183958782,2026-08-20 13:35:41.255778,2026-08-20 13:35:58.875368,0 days 00:00:17.619590,silu,,,16,0.0,8,64,32,rmsprop,0.009493735756658968,2.9482123275186285e-06,"[91, 85, 81]","[0.14739065796725864, 0.17314637157942406, 0.13775112564095193]",85.0,COMPLETE
13,0.15246734653115104,2026-08-20 13:35:58.991288,2026-08-20 13:36:09.386518,0 days 00:00:10.395230,silu,,,32,0.0,8,64,32,rmsprop,0.009352925180383814,2.1788786802536925e-06,"[86, 92, 95]","[0.1636663009672999, 0.1422273942191373, 0.15150834440701597]",92.0,COMPLETE
14,0.16570502181844693,2026-08-20 13:36:09.602351,2026-08-20 13:36:19.520928,0 days 00:00:09.918577,silu,,,32,0.0,8,64,32,rmsprop,0.003479925731348161,6.2227514529006065e-06,"[94, 90, 93]","[0.1657692112717663, 0.1661292048832647, 0.16521664930030974]",93.0,COMPLETE
